Fault Name,NSHM23 Fault ID,State,Site Name,CPD ID,NSHM23 Slip Rate ID,Longitude,Latitude,Distance To Nearest CFM Fault (km),CFM6.0 Object Name,Data Type,Observation,Preferred Rate,Low Rate,High Rate,Rate Uncertainty,Rate Type,ReptReint,Offset Type,Age Type,Num Events,Rate Age,Qbin Min,Qbin Max,References,UCERF3 AppB
Almanor,2,CA,East Benner Creek,S-0001,SR-0002,-121.238493882000,40.405738796700,433.29,N/A,slip rate study,Net slip rate and net slip as reported by Kelson and others. (1995).  Kelson age estimate based on correlation of glacial deposits. Kelson and others. (1995) also report other interval rates of > 0.9 - 1.7 mm/yr (59 - 75 ka) and > 0.5 - 1.8 mm/yr (130 -,N/A,1.1,3.3,unknown,net (vertical + left-lateral),reported (author reported rate as recorded in Appendix B),moraine,correlation,unlisted,11-130,1,5,Kelson and others (1995),yes
Anaheim,5,CA,approx centroid,S-0002,SR-1221,-118.006498675976,33.827235209544,0.05,PNRA-CLEP-LABS-Anaheim_fault-CFM1,slip rate study,Rate reported by Mueller (2004) on relief of Upper San Pedro Formation.,0.11,0.09,0.14,unknown,unprojected (vertical),reported (author reported rate as recorded in Appendix B),statigraphic unit,regional age corellation,unlisted,130-750,0.2,1,Mueller (2004),yes
Antelope Valley,1000,CA,per Sarmiento and others. (2011),S-0003,SR-0429,-119.523954931000,38.592464321600,183.58,N/A,slip rate study,"One interval slip rate based on interevent time of 5,000 yrs, between most recent event and penultimate event.  Similar to rates reported by Bryant (1984a).",0.7,0.2,1,unknown,vertical,reported (author reported rate as recorded in Appendix B),trench stratigraphy,C14,2,1-11,0.2,1,Sarmiento and others (2011); Bryant (1984a),no
Ash Hill,6,CA,Ash Hill,S-0004,SR-0003,-117.419905469000,36.282985157300,0.36,SNFA-AHTC-ASHH-Ash_Hill_fault-CFM2,slip rate study,"Long term slip rate, net slip reported based on 1200 +/- 300 m of hz, 230 +/- 30 m vertical, and 5.2 : 1 Hz:V dip slip ratio (321 slip vector). Rate is roughly consistent with the Late Quaternary rate reported by the same authors.",0.3,0.2,1,unknown,net (vertical + right-lateral),reported (author reported rate as recorded in Appendix B),basalt flow,K/Ar,unlisted,> 2600,0.2,1,Densmore and Anderson (1997),yes
Battle Creek,9,CA,per Page and Renne (1994),S-0005,SR-0006,-121.991280037000,40.442404391600,475.09,N/A,slip rate study,"Page and Renne (1994) report 60 ka lava flow that crosses fault is unfaulted.  Site coordinates  approximate. Based on faulting of Brokeoff Mt flow. Note that in UCERF2, the Battle Creek fault was considered a normal fault, but more recent evidence sugge",0.1,0,0.5,unknown,unprojected (vertical),reported (author reported rate as recorded in Appendix B),lava flow,Ar-Ar,unknown,130-750,0.2,1,Page and Renne (1994),yes
Big Lagoon,13,CA,BM1,S-0006,SR-0010,-124.109810062000,41.188292021800,597.86,N/A,slip rate study,"Reported rate is vertical separation.  Net rate reported by McCrory is 1.1 mm/yr.  UCERF3 calculates slip rate of 1+/- 0.2 mm/yr, using the UCERF3-assigned fault dip of 35 degrees.",0.55,0.45,0.68,unknown,unprojected (vertical),"reported (author reported rate as recorded in Appendix B, including reported min and max rates)",stratigraphic marker,Assumed timing initiation of deformation,unknown,750-2600,0.2,1,McCrory (1996),yes
Blackwater,17,CA,per Oskin and Iriondo (2004),S-0007,SR-0014,-117.199882570000,35.207467722800,0.05,MJVA-BWFZ-MULT-Blackwater_fault-CFM5,slip rate study,"Long term, well-constrained rate.",0.49,0.09,0.89,unknown,horizontal,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),basalt flow,Ar-Ar,unlisted,>2600,0.2,1,Oskin and Iriondo (2008); USGS QFFD,yes
Breckenridge,21,CA,Oak Tree,S-0008,SR-0017,-118.546044716000,35.431154929500,1.43,GVFA-KRCS-KRCN-Kern_Canyon_fault-CFM5,slip rate study,"Small total displacements suggest a limited number of events.  Authors note consistency of rates over ~68 and ~35 ky timescales.  Authors dated three surfaces, ~68 ka surface displaced 7 m, 35 ka surface displaced 4 m, and ~12 ka surface is undeformed.",0.1,0,0.2,unknown,unprojected (vertical),reported (author reported slip and age information; Appendix B calculates rate from  data),fan,10Be,2?,11-130,0,0.2,Brossy and others (2010),yes
Calaveras (north),923,CA,Welch Creek,S-0009,SR-0425,-121.849707174000,37.534806319700,153.75,N/A,slip rate study,See Simpson and others (1999).,N/A,3,8,unknown,lateral,reported (author reported rate as recorded in Appendix B),terrace back edge,C14,unlisted,1-11,5,35,Simpson and others (1999),no
Calaveras (north),923,CA,Welch Creek,S-0010,SR-0426,-121.849707174000,37.534806319700,153.75,N/A,slip rate study,Offset measurement based on an isopach map of a buried debris flow.,N/A,5,6,unknown,lateral,reported (author reported rate as recorded in Appendix B),buried debris flow,C14,unlisted,1-11,5,35,Simpson and others (1999),no
