FaultName,FaultID,State,SiteName,SCECId,SliprateId,Longitude,Latitude,DistToCFMFault,CFM7ObjectName,Observation,PrefRate,LowRate,HighRate,RateUnct,RateType,ReptReint,OffsetType,AgeType,NumEvents,RateAge,QbinMin,QbinMax,UCERF3AppB,ShortReferences,Links,FullReferences
Algodones,2000,AZ,Upper Mesa,S-0258,SR-0571,-114.504984550000,32.479586765300,54.23,N/A,7-15 m high scarps on Upper Mesa deposits (est. 50-100 ka),0.15,0.07,0.3,unknown,unprojected (vertical),reinterpreted (low = 7m/100ka; high = 15m/50 ka; pref = 11m/75 ka-average),scarp heights,relative,multiple,50-100,0.2,1,no,Woodward-McNeil and Associates (1974); QFFD archive report for Algodones fault zone,N/A; N/A,"Woodward-McNeil & Associates, 1974, Geotechnical investigation, Yuma Dual-Purpose Nuclear Plant, Yuma, Arizona, Appendices E and F: Unpublished Report to the Salt River Project, Phoenix, Arizona.; N/A"
Almanor,2,CA,East Benner Creek,S-0001,SR-0002,-121.238493882000,40.405738796700,0.49,SNLV-LAMV-LKAL-Almanor-CFM7,"Net slip rate and net slip as reported by Kelson and others. (1995). Kelson age estimate based on correlation of glacial deposits. Kelson and others. (1995) also report other interval rates of > 0.9 - 1.7 mm/yr (59 - 75 ka) and > 0.5 - 1.8 mm/yr (130 - 190 ka), but regards these as minimum rates because the measurement is only on the eastern strand of the fault zone. Evidence for left lateral offset presented, but difficult to assess whether this is tectonic, or a meander in the moraine crest. Vertical displacement is 23 +/- 5 m. ",N/A,1.1,3.3,unknown,net (vertical + left-lateral),reported (author reported rate as recorded in Appendix B),moraine,correlation,unlisted,11-130,1,5,yes,Kelson et al. (1995),http://www.fop.cascadiageo.org/field-trips/pacific-cell-field-trips/1995-modoc-cascades-nevada/,"Kelson, K.I., Hitchcock, C.S., Zeeb, R.B., and Lettis, W.R. (1995). Appendix 2-6-Displacement of late Pleistocene glacial moraines by the Almanor fault, Plumas County, California, in Page, W., ed., Quaternary geology along the boundary between the Modoc Plateau, southern Cascade Mountains, and northern Sierra Nevada: Friends of the Pleistocene, 1995 Pacific Cell Field Trip Guidebook. http://www.fop.cascadiageo.org/field-trips/pacific-cell-field-trips/1995-modoc-cascades-nevada/"
Anaheim,5,CA,approx centroid,S-0002,SR-1221,-118.006498675976,33.827235209544,0.04,PNRA-CLEP-LABS-Anaheim_fault-CFM1,Rate reported by Mueller (2004) on relief of Upper San Pedro Formation.,0.11,0.09,0.14,unknown,unprojected (vertical),reported (author reported rate as recorded in Appendix B),statigraphic unit,regional age correlation,unlisted,130-750,0.2,1,yes,Mueller (2004),https://earthquake.usgs.gov/cfusion/external_grants/reports/02HQGR0100.pdf,"Mueller, K.J. (2004). Analysis of active blind thrust and fold hazards in the southern Los Angeles Basin from shallow aquifers and airborne swath-mapped DEM's: U.S. Geological Survey Final Technical Report, NEHRP Award 02HQGR0100, 32 p. https://earthquake.usgs.gov/cfusion/external_grants/reports/02HQGR0100.pdf"
Antelope Range,1140,NV,Profile 2&3,S-0269,SR-0768,-116.183908442000,39.334048448100,248.35,N/A,1.6-1.7 m tall scarps estimated to be 15-21 ka,0.092,0.076,0.11,unknown,unprojected (vertical),reinterpreted (low = 1.6 m / 21 ka; high = 1.7 m / 15 ka; pref = 1.65 m/ 18ka),scarp height,scarp morphology/diffusion modeling,2,15-21,0,0.2,no,Koehler and Wesnousky (2011),https://doi.org/10.1130/B30111.1,"Koehler, R. D., & Wesnousky, S. G. (2011). Late Pleistocene regional extension rate derived from earthquake geology of late Quaternary faults across the Great Basin, Nevada, between 38.5 N and 40 N latitude. GSA Bulletin, 123(3-4), 631-650. https://doi.org/10.1130/B30111.1"
Antelope Valley,1000,CA,per Sarmiento and others. (2011),S-0003,SR-0429,-119.523954931000,38.592464321600,0.08,SNLV-CVAV-ANTV-Antelope_Valley-CFM7,"One interval slip rate based on interevent time of 5,000 yrs, between most recent event and penultimate event. Similar to rates reported by Bryant (1984a).",0.7,0.2,1,unknown,vertical,reported (author reported rate as recorded in Appendix B),trench stratigraphy,C14,2,1-11,0.2,1,no,Sarmiento et al. (2011); Bryant (1984),https://doi.org/10.1785/0120100176; N/A,"Sarmiento, A. C., Wesnousky, S. G., & Bormann, J. M. (2011). Paleoseismic Trenches across the Sierra Nevada and Carson Range Fronts in Antelope Valley, California, and Reno, Nevada. Bulletin of the Seismological Society of America, 101(5), 2542-2549. https://doi.org/10.1785/0120100176; Bryant, W.A. (1984). Evidence of recent faulting along the Antelope Valley Fault Zone, Mono County, California: California Division of Mines and Geology Open-File Report 84-56, scale 1:48,000."
Ash Hill,6,CA,Ash Hill,S-0004,SR-0003,-117.419905469000,36.282985157300,0.36,SNFA-AHTC-ASHH-Ash_Hill_fault-CFM2,"Long term slip rate, net slip reported based on 1200 +/- 300 m of hz, 230 +/- 30 m vertical, and 5.2 : 1 Hz:V dip slip ratio (321 slip vector). Rate is roughly consistent with the Late Quaternary rate reported by the same authors.",0.3,0.2,1,unknown,net (vertical + right-lateral),reported (author reported rate as recorded in Appendix B),basalt flow,K/Ar,unlisted,> 2600,0.2,1,yes,Densmore and Anderson (1997),https://doi.org/10.1046/j.1365-2117.1997.00028.x,"Densmore, A.L., Anderson, R.S. (1997). Tectonic geomorphology of the Ash Hill fault, Panamint Valley, California: Basin Research, v. 9, p 53-63, https://doi.org/10.1046/j.1365-2117.1997.00028.x"
Battle Creek,9,CA,per Page and Renne (1994),S-0005,SR-0006,-121.991280037000,40.442404391600,0.97,GVFA-BCFZ-BTLC-Battle_Creek-CFM7,"Page and Renne (1994) report 60 ka lava flow that crosses fault is unfaulted. Site coordinates approximate. Based on faulting of Brokeoff Mt flow. Note that in UCERF2, the Battle Creek fault was considered a normal fault, but more recent evidence suggests that it is a reverse fault (Bill Page, written communication).",0.1,0,0.5,unknown,unprojected (vertical),reported (author reported rate as recorded in Appendix B),lava flow,Ar-Ar,unknown,130-750,0.2,1,yes,Page and Renne (1994),N/A,"Page, W.D., and Renne, P.R. (1994). 40AR-39AR dating of Quaternary basalt, western Modoc Plateau, northeastern California-Implications to tectonics [abs.], in Lanphere, M.A., Dalrymple, G.B., and Turrin, B.D., eds., Abstracts of the Eighth International Conference on Geochronology, Cosmochronology and Isotope Geology: U.S. Geological Survey Circular 1107, p. 240."
Benton Spring (south),1006,NV,Mina1-BS,S-0223,SR-0438,-118.074761967000,38.416843690600,62.8,N/A,offset alluvial fan 34.5 +/- 1.5 m dated at 21.8 +/- 4.1 ka,1.5,1.3,1.7,95% CI (reported; averaged through origin using method of Zechar and Frankel),projected (strike-slip),reported,offset alluvial fan,10Be,unlisted,21.8 +/- 4.1,0.2,1,no,"Angster et al., (2019)",https://doi.org/10.1130/GES02088.1,"Angster, S. J., Wesnousky, S. G., Figueiredo, P. M., Owen, L. A., & Hammer, S. J. (2019). Late Quaternary slip rates for faults of the central Walker Lane (Nevada, USA): Spatiotemporal strain release in a strike-slip fault system. Geosphere, 15(5), 1460-1478. https://doi.org/10.1130/GES02088.1"
Bettles Well - Petrified Springs,1008,NV,PS,S-0224,SR-0440,-118.167862519000,38.735578633000,94.07,N/A,offset behead channel incised into Qfi fan offset 92.5 +/- 0.5 m since 124 +/- 6 ka,0.9,0.7,1,95% CI (reported; averaged to origin using Zechar and Frankel method),projected (strike-slip),reported,beheaded channel,36Cl,unlisted,124 +/- 6,0.2,1,no,"Angster et al., (2019)",https://doi.org/10.1130/GES02088.1,"Angster, S. J., Wesnousky, S. G., Figueiredo, P. M., Owen, L. A., & Hammer, S. J. (2019). Late Quaternary slip rates for faults of the central Walker Lane (Nevada, USA): Spatiotemporal strain release in a strike-slip fault system. Geosphere, 15(5), 1460-1478. https://doi.org/10.1130/GES02088.1"
Big Lagoon,13,CA,BM1,S-0006,SR-0010,-124.109810062000,41.188292021800,0.06,CASC-BMMR-BLDM-Bald_Mountain_Big_Lagoon-CFM7,"Reported rate is vertical separation. Net rate reported by McCrory is 1.1 mm/yr. UCERF3 calculates slip rate of 1+/- 0.2 mm/yr, using the UCERF3-assigned fault dip of 35 degrees.",0.55,0.45,0.68,unknown,unprojected (vertical),"reported (author reported rate as recorded in Appendix B, including reported min and max rates)",stratigraphic marker,Assumed timing initiation of deformation,unknown,750-2600,0.2,1,yes,McCrory (1996),https://doi.org/10.3133/ofr96656,"McCrory, P.A., (1996). Evaluation of fault hazards, northern coastal California: U.S. Geological Survey Open-File Report 96-656, 87 p. https://doi.org/10.3133/ofr96656"
